2420,1,1
2420,5,1
2420,21,1
2420,23,1
2420,24,1
2420,26,1
2420,28,1
2420,106,1
2420,119,1
2420,124,1
2420,138,1
2420,140,1
2420,154,1
2420,191,1
2420,192,1
2420,194,1
2420,199,1
2420,268,1
2420,312,1
2420,324,1

2431,1,1
2431,5,1
2431,21,1
2431,23,1
2431,24,1
2431,26,1
2431,28,1
2431,28,1
2431,41,1
2431,42,1
2431,43,1
2431,102,1
2431,106,1
2431,119,1
2431,124,1
2431,140,1
2431,154,1
2431,191,1
2431,192,1
2431,194,1
2431,199,1
2431,221,1
2431,222,1
2431,268,1
2431,297,1
2431,308,1
2431,312,1
2431,322,1
2431,323,1

3020,1,1
3020,5,1
3020,21,1
3020,23,1
3020,24,1
3020,26,1
3020,28,1
3020,38,1
3020,102,1
3020,106,1
3020,107,1
3020,119,1
3020,124,1
3020,138,1
3020,140,1
3020,151,1
3020,154,1
3020,191,1
3020,192,1
3020,194,1
3020,199,1
3020,221,1
3020,268,1
3020,312,1
3020,322,1
3020,323,1
3020,324,1
3020,325,1
3020,330,1

3021,1,1
3021,5,1
3021,21,1
3021,23,1
3021,24,1
3021,26,1
3021,28,1
3021,38,1
3021,102,1
3021,106,1
3021,119,1
3021,138,1
3021,140,1
3021,151,1
3021,154,1
3021,191,1
3021,192,1
3021,194,1
3021,199,1
3021,221,1
3021,222,1
3021,268,1
3021,321,1
3021,322,1
3021,324,1

3022,1,1
3022,5,1
3022,21,1
3022,23,1
3022,24,1
3022,26,1
3022,28,1
3022,38,1
3022,102,1
3022,106,1
3022,119,1
3022,124,1
3022,138,1
3022,140,1
3022,151,1
3022,154,1
3022,191,1
3022,192,1
3022,194,1
3022,199,1
3022,221,1
3022,222,1
3022,268,1
3022,308,1
3022,312,1
3022,322,1
3022,325,1
3022,330,1

3023,1,1
3023,5,1
3023,21,1
3023,23,1
3023,24,1
3023,26,1
3023,28,1
3023,38,1
3023,40,1
3023,41,1
3023,42,1
3023,43,1
3023,44,1
3023,48,1
3023,49,1
3023,102,1
3023,106,1
3023,107,1
3023,111,1
3023,113,1
3023,119,1
3023,124,1
3023,138,1
3023,140,1
3023,151,1
3023,154,1
3023,182,1
3023,191,1
3023,194,1
3023,199,1
3023,221,1
3023,222,1
3023,226,1
3023,268,1
3023,312,1
3023,321,1
3023,322,1
3023,323,1
3023,324,1
3023,325,1
3023,326,1
3023,330,1
3023,3023,1

3068,1,1
3068,5,1
3068,21,1
3068,23,1
3068,24,1
3068,26,1
3068,28,1
3068,28,1
3068,102,1
3068,106,1
3068,119,1
3068,135,1
3068,138,1
3068,140,1
3068,154,1
3068,191,1
3068,192,1
3068,194,1
3068,199,1
3068,221,1
3068,222,1
3068,297,1
3068,308,1
3068,312,1
3068,322,1
3068,323,1

3069,1,1
3069,5,1
3069,21,1
3069,23,1
3069,24,1
3069,26,1
3069,28,1
3069,28,1
3069,40,1
3069,41,1
3069,42,1
3069,43,1
3069,44,1
3069,48,1
3069,102,1
3069,106,1
3069,111,1
3069,119,1
3069,124,1
3069,135,1
3069,138,1
3069,140,1
3069,154,1
3069,182,1
3069,189,1
3069,191,1
3069,192,1
3069,194,1
3069,199,1
3069,221,1
3069,222,1
3069,268,1
3069,297,1
3069,311,1
3069,312,1
3069,322,1
3069,323,1

3623,1,1
3623,5,1
3623,21,1
3623,23,1
3623,24,1
3623,26,1
3623,28,1
3623,38,1
3623,102,1
3623,106,1
3623,107,1
3623,119,1
3623,124,1
3623,138,1
3623,140,1
3623,151,1
3623,154,1
3623,191,1
3623,192,1
3623,194,1
3623,199,1
3623,221,1
3623,268,1
3623,308,1
3623,321,1
3623,322,1
3623,323,1
3623,325,1

3666,1,1
3666,5,1
3666,21,1
3666,23,1
3666,24,1
3666,26,1
3666,28,1
3666,102,1
3666,106,1
3666,119,1
3666,124,1
3666,138,1
3666,140,1
3666,154,1
3666,191,1
3666,192,1
3666,194,1
3666,199,1
3666,222,1
3666,268,1
3666,322,1
3666,324,1

3710,1,1
3710,5,1
3710,21,1
3710,23,1
3710,24,1
3710,26,1
3710,28,1
3710,38,1
3710,102,1
3710,106,1
3710,119,1
3710,124,1
3710,138,1
3710,140,1
3710,151,1
3710,154,1
3710,191,1
3710,192,1
3710,194,1
3710,199,1
3710,221,1
3710,222,1
3710,268,1
3710,308,1
3710,312,1
3710,321,1
3710,322,1
3710,324,1
3710,326,1

3795,1,1
3795,5,1
3795,21,1
3795,23,1
3795,24,1
3795,26,1
3795,28,1
3795,102,1
3795,106,1
3795,107,1
3795,119,1
3795,124,1
3795,138,1
3795,140,1
3795,154,1
3795,191,1
3795,192,1
3795,194,1
3795,199,1
3795,221,1
3795,222,1
3795,226,1
3795,268,1
3795,321,1
3795,322,1
3795,323,1
3795,324,1
3795,325,1

6636,1,1
6636,5,1
6636,21,1
6636,23,1
6636,24,1
6636,26,1
6636,28,1
6636,106,1
6636,119,1
6636,124,1
6636,138,1
6636,154,1
6636,191,1
6636,192,1
6636,194,1
6636,199,1
6636,221,1
6636,268,1

14719,1,1
14719,5,1
14719,21,1
14719,23,1
14719,26,1
14719,28,1
14719,102,1
14719,140,1
14719,191,1
14719,194,1

26603,1,1
26603,5,1
26603,21,1
26603,24,1
26603,26,1
26603,28,1
26603,102,1
26603,194,1
26603,199,1
26603,268,1
26603,312,1

63864,1,1
63864,5,1
63864,21,1
63864,23,1
63864,24,1
63864,26,1
63864,28,1
63864,28,1
63864,106,1
63864,119,1
63864,138,1
63864,140,1
63864,154,1
63864,191,1
63864,192,1
63864,194,1
63864,199,1
63864,222,1
63864,268,1
63864,308,1
63864,322,1
63864,323,1

87079,1,1
87079,5,1
87079,21,1
87079,23,1
87079,24,1
87079,26,1
87079,28,1
87079,28,1
87079,102,1
87079,106,1
87079,124,1
87079,135,1
87079,138,1
87079,140,1
87079,154,1
87079,191,1
87079,192,1
87079,194,1
87079,199,1
87079,268,1
87079,312,1
87079,322,1
